responseid,imp_accept,other_accept,self_accept,r10panelpad,opinion_ban,opinion_strength,video_mobile,video_ended,video_error,video_paused,video_played,video_timespent,video_report,r10pad4_comment,fairness,accept,trust,check_outcome,check_politician,r10pad1_9_backward_1,r10pad1_9_backward_2,r10pad1_9_backward_3,r10pad1_9_backward_4,r10pad1_9_backward_5,r10pad1_9_backward_6,r10pad1_9_backward_7,r10pad1_9_backward_8,video,treatment,favorability,mcheck_favorability,imp_accept2,other_accept2,self_accept2,opinion_strength2
1001705,5,3,4,1,Pro,4,1,NA,NA,NA,NA,105,1,,5,5,5,1,2,1,NA,1,NA,NA,NA,1,NA,video_proban_treat,Winner,Favorable,Correct,Important,Low degree,High degree,Important
1001730,3,4,4,1,Pro,3,1,NA,NA,NA,NA,105,1,,5,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Not important,High degree,High degree,Not important
1001758,3,5,1,1,Pro,4,1,NA,NA,NA,NA,111,1,,3,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Not important,High degree,Low degree,Important
1001764,4,4,4,1,Pro,3,0,1,NA,2,2,109,1,,4,5,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1001797,3,3,3,1,NA,4,0,1,NA,1,1,160,1,,4,4,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Not important,Low degree,Low degree,Important
1001809,1,NA,1,1,Pro,3,0,1,NA,1,1,125,1,,3,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Not important,NA,Low degree,Not important
1001812,4,4,4,1,Pro,3,0,1,NA,1,1,121,1,,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1001860,4,4,4,1,Pro,4,0,1,NA,1,1,119,3,,5,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Important
1001883,4,3,4,1,Pro,3,0,1,NA,1,1,113,1,,4,4,4,2,2,NA,1,1,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,Low degree,High degree,Not important
1001888,4,4,5,1,Pro,4,0,1,NA,2,2,126,1,,5,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Important
1001895,3,4,3,1,Pro,5,0,1,NA,1,1,163,1,,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Not important,High degree,Low degree,Important
1001912,4,4,4,1,Pro,3,0,1,NA,1,1,107,1,,5,5,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,High degree,High degree,Not important
1001915,4,4,4,1,Pro,4,0,1,NA,1,1,94,1,,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,High degree,High degree,Important
1001936,3,4,4,1,Pro,2,0,1,NA,1,1,127,1,,5,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Not important,High degree,High degree,Not important
1001939,4,4,4,1,Pro,5,0,1,NA,1,1,111,3,,4,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,High degree,Important
1001954,4,4,4,1,Pro,4,0,1,NA,1,1,107,1,,3,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,High degree,High degree,Important
