"","Q64","Q63","S3_1_1","S3_2_1","S3_4_1_1","S3_4_1_2","S3_5_1","S3_6_1_1","S3_6_1_2","S3_7_1_1","S3_7_1_2","S3_8_1_1","S3_8_1_2","Studie3sel"
"366",58,1,2,2,5,NA,5,6,NA,6,NA,6,NA,3
"367",46,1,1,4,1,NA,1,1,NA,1,NA,4,NA,3
"368",29,1,1,2,4,NA,2,3,NA,4,NA,3,NA,3
"369",70,1,2,7,7,NA,7,7,NA,7,NA,7,NA,3
"370",37,2,2,2,6,NA,5,5,NA,6,NA,5,NA,3
"371",86,1,1,4,3,NA,4,4,NA,7,NA,5,NA,3
"372",79,1,1,3,2,NA,2,1,NA,2,NA,2,NA,3
"373",49,2,2,1,2,NA,2,2,NA,3,NA,3,NA,3
"374",64,1,1,2,4,NA,3,3,NA,4,NA,4,NA,3
"375",78,2,2,4,4,NA,4,6,NA,7,NA,7,NA,3
"376",59,1,2,3,6,NA,5,6,NA,6,NA,7,NA,3
"377",77,2,2,5,7,NA,7,7,NA,7,NA,7,NA,3
"378",45,2,2,3,2,NA,1,1,NA,4,NA,4,NA,3
"379",39,2,2,4,3,NA,3,6,NA,6,NA,6,NA,3
"380",63,1,2,6,6,NA,6,7,NA,7,NA,7,NA,3
"381",37,2,1,5,7,NA,7,2,NA,6,NA,7,NA,3
"382",41,1,2,1,2,NA,2,3,NA,4,NA,5,NA,3
"383",80,2,1,1,1,NA,1,1,NA,2,NA,5,NA,3
"384",71,1,1,3,3,NA,3,1,NA,2,NA,2,NA,3
