"","responseid","r13pad1","r13pad2","r13pad3","r13pad4","r13pad5_avsender","r13pad5_sak","r13pad5_utfall","r13pad5_vinner","r13pad5_vinnermargin","r13pad6_ran","r13pad6a","r13pad6b","r13pad7a","r13pad7b","r13pad8a","r13pad8b","Scale_time","time","median"
"1423",1010464,2,2,2,2,4,1,2,1,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",45,88
"1424",1010471,1,3,2,4,5,1,2,1,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",59,88
"1425",1010472,1,4,2,1,3,1,2,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",91,88
"1426",1010477,1,4,2,1,1,2,1,1,3,1,4,98,4,98,4,98,"timeTracker2_R13PAD6A",41,88
"1427",1010482,2,3,1,3,5,1,2,1,3,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",115,88
"1428",1010483,2,2,1,2,7,2,1,1,2,2,98,2,98,2,98,1,"timeTracker2_R13PAD6B",50,88
"1429",1010495,2,4,2,4,1,1,1,1,1,2,98,1,98,3,98,2,"timeTracker2_R13PAD6B",51,88
"1430",1010497,2,4,2,2,6,1,2,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",51,88
"1431",1010505,2,2,1,2,6,1,1,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",398,88
"1432",1010506,1,4,2,1,4,2,1,2,3,1,3,98,5,98,4,98,"timeTracker2_R13PAD6A",110,88
"1433",1010516,1,4,1,2,7,2,1,1,3,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",76,88
"1434",1010611,2,4,2,1,4,1,1,1,2,2,98,1,98,2,98,2,"timeTracker2_R13PAD6B",106,88
"1435",1010624,2,4,1,4,7,2,1,1,3,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",64,88
"1436",1010663,1,4,2,1,5,1,1,2,1,1,2,98,4,98,3,98,"timeTracker2_R13PAD6A",84,88
"1437",1010676,2,5,2,4,2,1,1,1,2,1,2,98,4,98,3,98,"timeTracker2_R13PAD6A",67,88
"1438",1010681,1,2,2,2,5,2,1,1,3,2,98,1,98,4,98,2,"timeTracker2_R13PAD6B",83,88
"1439",1010765,1,3,2,4,4,1,2,2,2,2,98,2,98,2,98,1,"timeTracker2_R13PAD6B",88,88
"1440",1010766,1,3,2,3,6,1,1,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",76,88
"1441",1010770,1,2,2,3,4,1,1,2,1,1,1,98,1,98,2,98,"timeTracker2_R13PAD6A",93,88
"1442",1010791,2,4,2,4,7,2,2,1,3,2,98,2,98,3,98,1,"timeTracker2_R13PAD6B",64,88
"1443",1010863,1,2,2,1,2,2,1,1,2,1,5,98,5,98,5,98,"timeTracker2_R13PAD6A",3493,88
"1444",1010869,2,2,1,2,3,1,1,1,2,1,3,98,4,98,3,98,"timeTracker2_R13PAD6A",93,88
"1445",1010882,1,4,2,3,5,2,1,2,1,2,98,1,98,3,98,1,"timeTracker2_R13PAD6B",174,88
"1446",1010890,1,5,2,4,7,2,1,2,1,1,2,98,3,98,1,98,"timeTracker2_R13PAD6A",45,88
"1447",1010902,2,4,1,2,2,1,2,2,3,1,2,98,1,98,1,98,"timeTracker2_R13PAD6A",82,88
"1448",1010923,2,1,1,3,4,1,1,1,3,1,2,98,4,98,3,98,"timeTracker2_R13PAD6A",56,88
"1449",1010924,1,3,2,1,1,2,2,1,2,2,98,5,98,5,98,5,"timeTracker2_R13PAD6B",51,88
"1450",1010926,2,3,2,3,4,2,2,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",78,88
"1451",1010932,2,3,2,5,7,2,1,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",78,88
"1452",1010938,1,3,2,2,3,2,2,2,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",75,88
"1453",1010946,1,4,1,2,7,1,2,1,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",140,88
"1454",1010950,1,4,2,2,4,2,2,2,3,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",54,88
"1455",1010956,2,4,2,3,7,2,2,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",258,88
"1456",1010957,1,2,2,2,1,1,1,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",162,88
"1457",1010962,2,3,1,4,4,1,1,2,2,2,98,2,98,3,98,2,"timeTracker2_R13PAD6B",132,88
"1458",1010963,1,4,2,4,3,1,1,2,1,2,98,3,98,3,98,2,"timeTracker2_R13PAD6B",59,88
"1459",1010964,1,2,1,3,7,1,1,2,2,1,97,98,97,98,97,98,"timeTracker2_R13PAD6A",122,88
