"","responseid","r13pad1","r13pad2","r13pad3","r13pad4","r13pad5_avsender","r13pad5_sak","r13pad5_utfall","r13pad5_vinner","r13pad5_vinnermargin","r13pad6_ran","r13pad6a","r13pad6b","r13pad7a","r13pad7b","r13pad8a","r13pad8b","Scale_time","time"
"1198",1008715,2,1,97,5,1,2,1,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",89
"1199",1008726,1,2,2,1,7,2,1,2,2,1,2,98,5,98,4,98,"timeTracker2_R13PAD6A",77
"1200",1008737,2,5,1,2,2,2,2,2,2,1,2,98,4,98,2,98,"timeTracker2_R13PAD6A",59
"1201",1008743,1,3,2,2,5,1,1,1,2,1,3,98,4,98,4,98,"timeTracker2_R13PAD6A",98
"1202",1008744,1,3,2,4,1,2,2,1,1,1,3,98,3,98,3,98,"timeTracker2_R13PAD6A",50
"1203",1008765,1,3,2,2,6,2,2,1,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",692
"1204",1008770,2,1,2,4,6,1,1,1,2,2,98,4,98,3,98,3,"timeTracker2_R13PAD6B",87
"1205",1008778,1,3,2,1,6,1,1,1,2,2,98,2,98,3,98,3,"timeTracker2_R13PAD6B",104
"1206",1008781,2,3,2,4,7,1,2,2,1,2,98,3,98,3,98,1,"timeTracker2_R13PAD6B",44
"1207",1008782,2,2,1,3,6,1,1,2,3,2,98,1,98,4,98,1,"timeTracker2_R13PAD6B",63
"1208",1008794,1,4,2,2,2,1,2,1,3,1,2,98,3,98,2,98,"timeTracker2_R13PAD6A",44
"1209",1008803,2,5,2,4,2,1,1,1,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",54
"1210",1008817,1,4,2,2,1,2,2,2,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",73
"1211",1008824,1,1,2,1,6,2,1,1,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",129
"1212",1008833,1,3,1,4,2,2,2,2,1,2,98,1,98,1,98,2,"timeTracker2_R13PAD6B",75
"1213",1008834,1,5,1,1,2,1,2,2,2,2,98,1,98,3,98,1,"timeTracker2_R13PAD6B",3231
"1214",1008839,1,4,1,2,5,1,1,2,2,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",62
